Z Distance (x = 1 mm),Polymer Loading,Drug Loading,Media,ph,Time (min),Abs @ 280 nm
0,65,35,Water,,15,0.0869306
0.007,65,35,Water,,15,0.160696
0.014,65,35,Water,,15,0.202414
0.021,65,35,Water,,15,0.221056
0.028,65,35,Water,,15,0.225467
0.035,65,35,Water,,15,0.225585
0.042,65,35,Water,,15,0.224084
0.049,65,35,Water,,15,0.224566
0.056,65,35,Water,,15,0.223874
0.063,65,35,Water,,15,0.222286
0.07,65,35,Water,,15,0.220736
0.077,65,35,Water,,15,0.219542
0.084,65,35,Water,,15,0.213561
0.091,65,35,Water,,15,0.204069
0.098,65,35,Water,,15,0.195156
0.105,65,35,Water,,15,0.185666
0.112,65,35,Water,,15,0.177989
0.119,65,35,Water,,15,0.180372
0.126,65,35,Water,,15,0.191442
0.133,65,35,Water,,15,0.194497
0.14,65,35,Water,,15,0.189543
0.147,65,35,Water,,15,0.175834
0.154,65,35,Water,,15,0.164858
0.161,65,35,Water,,15,0.153925
0.168,65,35,Water,,15,0.13929
0.175,65,35,Water,,15,0.126555
0.182,65,35,Water,,15,0.10883
0.189,65,35,Water,,15,0.0920712
0.196,65,35,Water,,15,0.0769053
0.203,65,35,Water,,15,0.0638543
0.21,65,35,Water,,15,0.0513451
0.217,65,35,Water,,15,0.0426307
0.224,65,35,Water,,15,0.0332036
0.231,65,35,Water,,15,0.0291381
0.238,65,35,Water,,15,0.0258717
0.245,65,35,Water,,15,0.0258879
0.252,65,35,Water,,15,0.0239178
0.259,65,35,Water,,15,0.0190921
0.266,65,35,Water,,15,0.0159298
0.273,65,35,Water,,15,0.0123529
0.28,65,35,Water,,15,0.0119813
0.287,65,35,Water,,15,0.00836891
0.294,65,35,Water,,15,0.0110086
0.301,65,35,Water,,15,0.00961848
0.308,65,35,Water,,15,0.00635301
0.315,65,35,Water,,15,0.00885405
0.322,65,35,Water,,15,0.00796443
0.329,65,35,Water,,15,0.00550205
0.336,65,35,Water,,15,0.00405811
0.343,65,35,Water,,15,0.00232947
0.35,65,35,Water,,15,0.00266659
0.357,65,35,Water,,15,0.00232429
0.364,65,35,Water,,15,0.000444293
0.371,65,35,Water,,15,0.00153017
0.378,65,35,Water,,15,0.00462696
0.385,65,35,Water,,15,0.00328948
0.392,65,35,Water,,15,0.00319074
0.399,65,35,Water,,15,0.00357409
0.406,65,35,Water,,15,0.0050929
0.413,65,35,Water,,15,0.00526282
0.42,65,35,Water,,15,0.00817386
0.427,65,35,Water,,15,0.00878955
0.434,65,35,Water,,15,0.00867503
0.441,65,35,Water,,15,0.00847552
0.448,65,35,Water,,15,0.00737347
0.455,65,35,Water,,15,0.0045762
0.462,65,35,Water,,15,0.00517494
0.469,65,35,Water,,15,0.00256815
0.476,65,35,Water,,15,0.00210278
0.483,65,35,Water,,15,0.0012022
0.49,65,35,Water,,15,0.00267084
0.497,65,35,Water,,15,0.0011663
0.504,65,35,Water,,15,0.000683097
0.511,65,35,Water,,15,0.000895844
0.518,65,35,Water,,15,0.00360954
0.525,65,35,Water,,15,0.00521043
0.532,65,35,Water,,15,0.00736198
0.539,65,35,Water,,15,0.0093667
0.546,65,35,Water,,15,0.0101641
0.553,65,35,Water,,15,0.010104
0.56,65,35,Water,,15,0.00959733
0.567,65,35,Water,,15,0.00505936
0.574,65,35,Water,,15,0.000840042
0.581,65,35,Water,,15,0.0040951
0.588,65,35,Water,,15,0.00536209
0.595,65,35,Water,,15,0.00218079
0.602,65,35,Water,,15,0.000279484
0.609,65,35,Water,,15,0.00338651
0.616,65,35,Water,,15,6.25E-05
0.623,65,35,Water,,15,0.00367183
0.63,65,35,Water,,15,0.00538814
0.637,65,35,Water,,15,0.00743059
0.644,65,35,Water,,15,0.0090516
0.651,65,35,Water,,15,0.00929275
0.658,65,35,Water,,15,0.00897203
0.665,65,35,Water,,15,0.0102542
0.672,65,35,Water,,15,0.0141692
0.679,65,35,Water,,15,0.0199112
6.86E-01,65,35,Water,,15,0.021555
0.693,65,35,Water,,15,0.0150617
0.7,65,35,Water,,15,0.00921701
0.707,65,35,Water,,15,0.00203608
0.714,65,35,Water,,15,0.00294467
0.721,65,35,Water,,15,0.00407878
0.728,65,35,Water,,15,0.00403678
0.735,65,35,Water,,15,0.00234765
