"reviewer_name","star_rating","review_date","review_text","source"
"s.penkevich",5,"December 21, 2024","‘It's enough for me to be sure that you and I exist at this moment.’Few memories of reading a book can match the sweetness of the warm spring day while at university when I sat in the grass down by a river and began Gabriel Garcia Marquez’s masterful One Hundred Years of Solitude. The novel gripped me immediately and I followed the myth-like tales of the Buendía family and the fictional town of Macondo across multiple generations until the sunlight had vanished, the sound of the river adding an idyllic rhythm to my reading that made me keenly aware of the passage of time the idea of one thing flowing into the next. This novel truly is a tour de force earning its canonization not only as a crucial work of Latin American literature but as an internationally renowned novel of great beauty and insight. The amalgamation of stories all colliding within the novel form a complex web of critical analysis of history that functions as commentary on colonialism, political struggles of war and life under dictatorship, as well as interpersonal issues of family, legacy and love or the lack of it, making this a dense yet delightful novel that will forever reside within the hearts and minds of its readers.One Hundred Years of Solitude was written in the span of just 18 months but will linger on in immortality as an important work of 20th century literature. It has sold over 50 million copies in over 25 languages (translated into english by the incredible Gregory Rabassa, the former WWII cryptologist was handpicked by Marquez for the task and reportedly said that Rabassa’s translation was better than his original in Spanish) and continues to charm readers everywhere. It is a cornerstone of modern Latin American Literature that has made Marquez a household name along with Jorge Luis Borges, from whom Marquez drew much inspiration (particularly from the story The Garden of Forking Paths which you can read here and inspired the cyclical ending of the novel). Harold Bloom wrote of One Hundred Years of Solitude that ‘It is all story, where everything conceivable and inconceivable is happening at once.’ And indeed it does feel as if the whole of life is bursting forth from the book, which is a family epic that spans from the 1820’s through the 1920’s. Marquez combines his mythmaking with historical events, using magical realism as a political action of uncovering the meaning hiding in plain sight of historical reality. Carlos Fuentes writes in The Great Latin American Novel that Marquez’s storytelling serves ‘as an act of knowledge, as a negation of the false documents of the civil state which, until very recently papered over our reality.’ While Marquez says in a 1988 interview ‘there's not a single line in my novels which is not based on reality,’ it seems to affirm Fuente’s analysis and point to the reality in storytelling being a method to unlock a reality in life previously unobservable. In this manner of magical realism, Marquez can move from tales of extraordinarily large men, women floating away into the sky, or absurdly long rain storms to actual historical events, such as the Banana Massacre when the United Fruit Company (now known as Chiquita) called in the army to massacre striking workers at the request of the US. Through this work and it’s investigations into US military intervention, dictatorships and revolutionaries, Marquez wrests the official narrative of history from the colonialist lenses that would prescribe a narrative to the Latin American countries they sought to exploit and gives history its own mythological life to function more freely. This also opens the novel up to multiple ways of reading it, where any of the numerous themes could be emphasized.‘The secret of a good old age is simply an honorable pact with solitude.’As one would expect, solitude is a major theme working through the novel, with Buendía's own sense of solitude enlarged in the isolation of Macondo, which is falling apart by the end of the book. The weight of feeling ones country collapsing to external forces is strongly imposed as the novel careens towards conclusion, and as new technologies arrive and different societies begin to integrate, those of the old guard feel more and more isolated from the world. None of this moves in a straightforward manner, however, and the ending reveals history to be a cyclical process, one of constant creation and undoing. ‘...time was not passing...it was turning in a circle…’One Hundred Years of Solitude is truly worth the read and holds a very special place in my heart. It is such a fascinating and fantastic blend of magical realism and historical insight that was a major work in world literature. One to read and read again.5/5
  Buendía family tree (source)","goodreads"
"Chris",3,"December 4, 2013","Revised 28 March 2012Huh? Oh. Oh, man. Wow.I just had the  weirdest dream.There was this little town, right? And everybody had, like, the same two names. And there was this guy who lived under a tree and a lady who ate dirt and some other guy who just made little gold fishes all the time. And sometimes it rained and sometimes it didn’t, and… and there were fire ants everywhere, and some girl got carried off into the sky by her laundry…Wow. That was messed up.I need some coffee.The was roughly how I felt after reading this book. This is really the only time I’ve ever read a book and thought, “You know, this book would be awesome if I were stoned.” And I don’t even know if being stoned works on books that way.Gabriel Garcia Marquez (which is such a fun name to say) is one of those Writers You Should Read. You know the type – they’re the ones that everyone claims to have read, but no one really has. The ones you put in your online dating profile so that people will think you’re smarter than you really are. You get some kind of intellectual bonus points or something, the kind of highbrow cachet that you just don’t get from reading someone like Stephen King or Clive Barker.Marquez was one of the first writers to use “magical realism,” a style of fantasy wherein the fantastic and the unbelievable are treated as everyday occurrences. While I’m sure it contributed to the modern genre of urban fantasy – which also mixes the fantastic with the real – magical realism doesn’t really go out of its way to point out the weirdness and the bizarrity. These things just happen. A girl floats off into the sky, a man lives far longer than he should, and these things are mentioned in passing as though they were perfectly normal.In this case, Colonel Aureliano Buendia has seventeen illegitimate sons, all named Aureliano, by seventeen different women, and they all come to his house on the same day. Remedios the Beauty is a girl so beautiful that men just waste away in front of her, but she doesn’t even notice. The twins Aureliano Segundo and Jose Arcadio Segundo may have, in fact, switched identities when they were children, but no one knows for sure – not even them. In the small town of Macondo, weird things happen all the time, and nobody really notices. Or if they do notice that, for example, the town’s patriarch has been living for the last twenty years tied to a chestnut tree, nobody thinks anything is at all unusual about it.This, of course, is a great example of Dream Logic – the weird seems normal to a dreamer, and you have no reason to question anything that’s happening around you. Or if you do notice that something is wrong, but no one else seems to be worried about it, then you try to pretend like coming to work dressed only in a pair of spangly stripper briefs and a cowboy hat is perfectly normal.Another element of dreaminess that pervades this book is that there’s really no story here, at least not in the way that we have come to expect. Reading this book is kind of like a really weird game of The Sims - it’s about a family that keeps getting bigger and bigger, and something happens to everybody. So, the narrator moves around from one character to another, giving them their moment for a little while, and then it moves on to someone else, very smoothly and without much fanfare. There’s very little dialogue, so the story can shift very easily, and it often does.Each character has their story to tell, but you’re not allowed to linger for very long on any one of them before Garcia shows you what’s happening to someone else. The result is one long, continuous narrative about this large and ultimately doomed family, wherein the Buendia family itself is the main character, and the actual family members are secondary to that.It was certainly an interesting reading experience, but it took a while to get through. I actually kept falling asleep as I read it, which is unusual for me. But perhaps that’s what Garcia would have wanted to happen. By reading his book, I slipped off into that non-world of dreams and illusions, where the fantastic is commonplace and ice is something your father takes you to discover.------“[Arcadio] imposed obligatory military service for men over eighteen, declared to be public property any animals walking the streets after six in the evening, and made men who were overage wear red armbands. He sequestered Father Nicanor in the parish house under pain of execution and prohibited him from saying mass or ringing the bells unless it was for a Liberal victory. In order that no one would doubt the severity of his aims, he ordered a firing squad organized in the square and had it shoot a scarecrow. At first no one took him seriously.”","goodreads"
"Meg Sherman",5,"May 29, 2011","I guarantee that 95% of you will hate this book, and at least 70% of you will hate it enough to not finish it, but I loved it. Guess I was just in the mood for it. Here's how it breaks down:AMAZING THINGS: I can literally feel new wrinkles spreading across the surface of my brain when I read this guy. He's so wicked smart that there's no chance he's completely sane. His adjectives and descriptions are 100% PERFECT, and yet entirely nonsensical. After reading three chapters, it starts making sense... and that's when you realize you're probably crazy, too. And you are. We all are.The magical realism style of the book is DELICIOUS. Sure, it's an epic tragedy following a long line of familial insanity, but that doesn't stop the people from eating dirt, coming back from the dead, spreading a plague of contagious insomnia, or enjoying a nice thunderstorm of yellow flowers. It's all presented in such a natural light that you think, ""Of course. Of course he grows aquatic plants in his false teeth. Now why wouldn't he?""This guy is the epitome of unique. Give me a single sentence, ANY SENTENCE the man has ever written, and I will recognize it. Nobody writes like him. (Also, his sentences average about 1,438 words each, so pretty much it's either him or Faulkner)REASONS WHY MOST OF YOU WILL HATE THIS BOOK: I have to engage every ounce of my mental ability just to understand what the *@ is going on! Most people who read for relaxation and entertainment will want to send Marquez hate mail. Also, there are approximately 20 main characters and about 4 names that they all share. I realize that's probably realistic in Hispanic cultures of the era, but SERIOUSLY, by the time you get to the sixth character named Aureliano, you'll have to draw yourself a diagram. Not even the classic Russians suffer from as much name-confusion as this guy.On an uber-disturbing note, Marquez has once again (as he did in Love in the Time of Cholera) written a grown man having sex with a girl as young as 9... which is pretty much #1 on my list of ""Things That Make You Go EWW!!!"" He makes Lolita look like Polyanna on the virtue chart! (Note to authors: You give ONE of your characters a unique, but disgusting characteristic and it's good writing. Give it to more than one, and we start thinking we're reading your psychological profile, ya creep!)If you feel like pushing your brain to its max, read it. The man did win the Nobel after all, it's amazing. But get ready to work harder to understand something than you ever have before in your life. And may God be with you.FAVORITE QUOTES: (coincidentally also the shortest ones in the book)She had the rare virtue of never existing completely except at the opportune moment.He soon acquired the forlorn look that one sees in vegetarians.Children inherit their parents' madness.He really had been through death, but he had returned because he could not bear the solitude.The air was so damp that fish could have come in through the doors and swum out the windows.He was unable to bear in his soul the crushing weight of so much past.It's enough for me to be sure that you and I exist at this moment.A person doesn't die when he should but when he can.","goodreads"
"Lisa",5,"March 17, 2020","""What is your favourite book, mum?""How many times have my children asked me that, growing up with a mother who spends most of her time reading - to them, alone, for work, for pleasure - or looking for new books in bookstores wherever we happen to be.""I can't answer that, there are so many books I love, and in different ways!""""Just name one that comes to mind!""And I said, without really knowing why, and without thinking:""One Hundred Years Of Solitude!""""Why?""""Because...""This novel taught me that chaos and order are two sides of the same medal - called family life. It taught me that sadness and love go hand in hand, and that life is easy and complicated at the same time. It taught me that many wishes actually come true, but never in the way we expect, and most often with a catch. It taught me that sun and rain follow each other, even though we might have to wait for four years, eleven months and two days for rain to stop falling sometimes. It taught me that there are as many recipes for love as there are lovers in the world, and that human beings are lazy and energetic, good and bad, young and old, ugly and beautiful, honest and dishonest, happy and sad, all at the same time, - together and lonely.It taught me that we are forever longing for what we do not have, until we get what we long for. Then we start longing for what we lost when our dreams came true.This novel opened up the world of absurdities to me, and dragged me in like no other. In each member of the Buendía family, I recognise some relation, or myself, or both. Macondo is the world in miniature, and wherever I go, it follows me like a shadow. It is not rich, peaceful, or beautiful. It is just Macondo. No more, no less.My favourite book? I don't know. There are so many. But I don't think any other could claim to be more loved than this one.","goodreads"
"Adam",1,"March 28, 2008","So I know that I'm supposed to like this book because it is a classic and by the same author who wrote Love in the Time of Cholera. Unfortunately, I just think it is unbelievably boring with a jagged plot that seems interminable. Sure, the language is interesting and the first line is the stuff of University English courses. Sometimes I think books get tagged with the ""classic"" label because some academics read them and didn't understand and so they hailed these books as genius. These same academics then make a sport of looking down their noses at readers who don't like these books for the very same reasons. (If this all sounds too specific, yes I had this conversation with a professor of mine).I know that other people love this book and more power to them, I've tried to read it all the way through three different times and never made it past 250 pages before I get so bored keeping up with all the births, deaths, magical events and mythical legends. I'll put it this way, I don't like this book for the same reason that I never took up smoking. If I have to force myself to like it, what's the point. When I start coughing and hacking on the first cigarette, that is my body telling me this isn't good for me and I should quit right there. When I start nodding off on the second page of One Hundred Years of Solitude that is my mind trying to tell me I should find a better way to pass my time.","goodreads"
"Laura",1,"June 11, 2008","More like A Hundred Years of Torture. I read this partly in a misguided attempt to expand my literary horizons and partly because my uncle was a big fan of Gabriel Garcia Marquez. Then again, he also used to re-read Ulysses for fun, which just goes to show that you should never take book advice from someone whose IQ is more than 30 points higher than your own.I have patience for a lot of excesses, like verbiage and chocolate, but not for 5000 pages featuring three generations of people with the same names. I finally tore out the family tree at the beginning of the book and used it as a bookmark! To be fair, the book isn’t actually 5000 pages, but also to be fair, the endlessly interwoven stories of bizarre exploits and fantastical phenomena make it seem like it is. The whole time I read it I thought, “This must be what it’s like to be stoned.” Well, actually most of the time I was just trying to keep the characters straight. The rest of the time I was wondering if I was the victim of odorless paint fumes. However, I think I was simply the victim of Marquez’s brand of magical realism, which I can take in short stories but find a bit much to swallow in a long novel. Again, to be fair, this novel is lauded and loved by many, and I can sort of see why. A shimmering panoramic of a village’s history would appeal to those who enjoy tragicomedy laced heavily with fantasy. It’s just way too heavily laced for me.","goodreads"
"Emma",5,"September 5, 2022","""Upset by two nostalgias facing each other like two mirrors, he lost his marvellous sense of unreality and he ended up recommending to all of them that they leave Macondo, that they forget everything he had taught them about the world and the human heart, that they shit on Horace, and that wherever they might be they always remember that the past was a lie, that memory has no return, that every spring gone by could never be recovered, and that the wildest and most tenacious love was an ephemeral truth in the end.""","goodreads"
"Lyn",5,"August 10, 2023","*** 2023 reread - In all of world literature there is a division: 1) One Hundred Years of Solitude and 2) all other books.***Mystical and captivating.One Hundred Years of Solitude by Nobel laureate Gabriel García Márquez, first published in 1967 in his native Colombia and then first published in English in 1970, is a unique literary experience, overwhelming in its virtuosity and magnificent in scope.I recall my review of Tolstoy’s War and Peace, trying to describe a book like it and realizing there are no other books like it; it is practically a genre unto itself. That said, One Hundred Years of Solitude is a masterpiece of narrative ability, and is itself unique as a statement, but reminiscent of many other great books: Pasternak’s Doctor Zhivago, Lowry’s Under the Volcano, Buck’s The Good Earth, and Joyce’s Ulysses were the works that I thought of while reading, but no doubt this is a one of a kind.Using all of the literary devices I have ever learned and making up many more as he went along, García Márquez established a new epoch of descriptive resonance. Magic realism and hyperbole abound in his fantastic history of the mythical town of Macondo separated by mountains and a swamp road from everything else and of the Buendía family, whose lifeblood was the dramatic heart of the village from inception until the fateful end.García Márquez employs incestuous and repetitive family situations to emphasize his chronicle and a dynamic characterization that is labyrinthine in its complexity. Dark humor walks the ancient halls of the ancestral mansion home along with the ghosts of those who have come before. Incredibly García Márquez ties it all together into a complete and prophetically sound ending that breathes like poetry to the finish.Finally I must concede that this review is wholly inadequate. This is a book that must be read.**** 2018 - I had a conversation about this book recently and I was asked ""what was the big deal?why was this so special?"" It had been a while since I had read but my response was that after turning the last page I was struck dumb, had to walk the earth metaphorically for a few days to gather my thoughts on what I had read - really more than that, what I had experienced. I read alot of books and a book that smacks me like that deserves some reflection.Another indicator to me, and this is also subjective - is that I have thought about this book frequently since. I read a book and enjoy it, was entertained and escaped for a while into the writer's world, and then I finish and write a review, slap a 3 star on it and go to the next book. There are some books, years later that I have to refresh my memory: who wrote that? what was it about? Not so with 100 years. Like so many other five star ratings, this one has stayed with me and I think about Macondo sometimes and can see the weeds and vines growing up through the hardwood floors. This is a special book.","goodreads"
"Vit Babenco",5,"November 20, 2024","Years are passing by but time stands still – such is a perception of solitude… Such is a feeling created by One Hundred Years of Solitude novel…A myth, legend, fable, allegory, chronicle, epopee, saga, fairytale – call it as you please but magical realism applied by Gabriel García Márquez to his narration encompasses all those.Remedios the Beauty was proclaimed queen. Úrsula, who shuddered at the disquieting beauty of her great-granddaughter, could not prevent the choice. Until then she had succeeded in keeping her off the streets unless it was to go to mass with Amaranta, but she made her cover her face with a black shawl. The most impious men, those who would disguise themselves as priests to say sacrilegious masses in Catarino’s store, would go to church with an aim to see, if only for an instant, the face of Remedios the Beauty, whose legendary good looks were spoken of with alarming excitement throughout the swamp. It was a long time before they were able to do so, and it would have been better for them if they never had, because most of them never recovered their peaceful habits of sleep. The man who made it possible, a foreigner, lost his serenity forever, became involved in the sloughs of abjection and misery, and years later was cut to pieces by a train after he had fallen asleep on the tracks. From the moment he was seen in the church, wearing a green velvet suit and an embroidered vest, no one doubted that he came from far away, perhaps from some distant city outside of the country, attracted by the magical fascination of Remedios the Beauty. He was so handsome, so elegant and dignified, with such presence, that Pietro Crespi would have been a mere fop beside him, and many women whispered with spiteful smiles that he was the one who really should have worn the shawl. He did not speak to anyone in Macondo. He appeared at dawn on Sunday like a prince in a fairy tale, riding a horse with silver stirrups and a velvet blanket, and he left town after mass.Tempus fugit…“One generation passeth away, and another generation cometh: but the earth abideth for ever. The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose.The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.” Ecclesiastes 1:4-6","goodreads"
"emma",4,"August 30, 2022","welcome to...ONE HUNDRED YEARS OF AUGUSTUDE!while logically i know that is far from my best month / title pun, and is also actually among the worst, and in point of fact that's even worse than it sounds because my puns have never been good...i like it. and that's that.we are back for another exciting round of Project Long Classics, in which elle and i find it within our cowardly hearts to brave long books from old times only by dividing them up into teeny-tiny chunks for four entire weeks.if it works, it works.i have been putting off reading this for a long time, and i am still very scared, but i do have this joke to get off: one hundred years of solitude? sounds like quarantine, am i right? buh dum ch!okay. i'm ready to get started.we're also reading this for our book club -join the discussion herefollow on instagram herelet's go.DAY 1: PAGES 1-15it's august 3, i won't lie to you. i could never. my nose would grow. pinocchio was based on a true story from the future about a human woman who writes book reviews.okay, i'm procrastinating. i'm scared and i have to read 50 pages today!!! sue me!all right. couple of things: this is beautiful; i have a used copy, acquired at an unknown time but probably 5+ years ago, and it smells good as hell; i'm not catching up today.DAY 2: PAGES 16-30okay. honesty hour: it's day 7, and i'm 15 pages into this book. folks...i am SLUMPED. (also i've been busy and i have trouble prioritizing these projects NOTORIOUSLY when i'm busy, but who cares about that part.)anyway, i've decided i'm ignoring it in order to indulge in my favorite way to spend a sunday: bringing 5-10 books in bed with me and alternating chapters all day, absolutely refusing to so much as make eye contact with another human being. so hopefully we catch up!DAY 3: PAGES 31-45okay...dare i say...i'm starting to have fun with this.i'm definitely liking it more than a good number of the collected stories, i'll say that much.DAY 4: PAGES 46-60so far this is giving very much no plot just vibes, and i can't say i'm not into it. and it's a collected stories crossover episode!DAY 5: PAGES 61-75the drama!!! sheesh. although you have to respect a classic that just comes right out and admits that nothing in life is more interesting or important than love and sex.most old books are always pretending it's something boring, like politics, or accounting, or blood feuds.DAY 6: PAGES 76-90maybe it's just me, but personally if i were selecting a wife out of everybody i knew, i'd probably pick someone who wasn't still literally wetting the bed. genuinely. not metaphorically.but that's just my pref.DAY 7: PAGES 91-105caught up!!! in our third consecutive hour of reading!!! alternating with 6 other books!!! is there nothing a project cannot do!!!there is just...so much going on here.DAY 8: PAGES 106-120pretty badass behavior happening here...i love it when womenDAY 9: PAGES 121-135 i took major advantage of the included family tree today, i'll say that. hoo boy.DAY 10: PAGES 136-150this is like. Intense to read. it never gets natural or easy in the way that most books do, even really old timey ones of major significance.but it is so damn good.DAY 11: PAGES 151-165a lot of these fellas up to no damn good...DAY 12: PAGES 166-180did anyone else notice that i accidentally started numbering the days in decreasing order. (now fixed.)how did that happen?! am i being pranked?? if someone hacked my account, please go to my messages and see how funny it is when men send desperate DMs to faceless book reviewers. i don't wanna be alone in the humor anymore.anyway. amaranta pulls.DAY 13: PAGES 181-195another weekend, another two days i accidentally took off from reading in their entirety.this is the first time that my 15 page intervals have actually lined up with a chapter. this is the height of luxury!!DAY 14: PAGES 196-210this is such a fever-dream way to read a fever-dream book - cut up into senseless little chunks like this. it's already such a discombobulated and nonlinear read, and absolutely refusing to acknowledge chapters or page breaks of any kind is insane!but fun.DAY 15: PAGES 211-225all the women in this book slay...they are very sexualized but also very badass. it's very fun to read about.caught up!DAY 16: PAGES 226-240HOW is ursula still alive. we're on, like, our 8th aureliano.DAY 17: PAGES 241-255imagine being so hot it kills literally any man who doesn't leave you alone...goals.DAY 18: PAGES 256-270make that like. 25 aurelianos.back to 8 again.DAY 19: PAGES 271-285URSULA!!!!!!! I LOVE YOU DON'T GO!!!!!!!i know you're like 200 years old and i just took you for granted like 3 days ago. but still.DAY 20: PAGES 286-300since my mourning cry for ursula, multiple people have died but she is not among them?? what a rollercoaster of emotions.there is a girl whose name is truly Meme in this and she is just as wonderful as her name would indicate. anyway generally the women in this remain discernible and one of a kind and interesting through this whole crazy book, while the men continue to bore me and be absolutely impossible to keep straight.DAY 21: PAGES 301-315folks, we're behind again.because even when my weekends are extremely lazy (read: indoors and conducted in solitude, as is my wont), and even when my weeks consist of little to no reading, something in my soul says that i should take at LEAST one saturday or sunday off entirely. i can't help it.DAY 22: PAGES 316-330there are like 200 characters in this book and 196 of them have been publicly executed.DAY 23: PAGES 331-345ursula somehow still alive and kicking. i love when magical realism is just like...""it rained for four years straight and this woman is like 180 years old.""DAY 24: PAGES 346-360under 100 pages to go and i feel confident stating there will never be a plot! and for that reason i have to stan.i cannot keep these men straight for even one second and yet i could summarize each female character in a paragraph by first name alone. it's the misandrist in me. also the fact that every man has one of two names. but still.DAY 25: PAGES 361-375aaaand it's an almost-no-paragraph-breaks day. of course. on a morning when my entire operating system feels like it's been replaced by a rube goldberg machine, which i just almost called a lou gehrig's machine.did i say morning? it's 12:48 p.m.onward and upward. anyway. intense chapter!DAY 26: PAGES 376-390how does a book with no plot conclude? not sure. seems like a lot of death but that's also par for the course for the most part.DAY 27: PAGES 391-405goddamn this is one cursed family.DAY 28: PAGES 406-420seems pretty late to be introducing new major characters but what do i know! this book plays by its own rules.DAY 29: PAGES 421-435the penultimate day! and we've reached the Sweeping Statements About Love And Decline And Meaning section. i'll miss reading this book but i'm so excited to see how it concludes.DAY 30: PAGES 436-448whoa.OVERALLthis book is wild, lovely, and weird, conveying in a completely unique way themes about family and time and suffering and love. i can't decide whether reading it in arbitrary doses over a month is the best or worst way to do so, but i had a good time!rating: 3.5","goodreads"
