"reviewer_name","review_date","numeric_rating","review_text","source"
"BooksForDinner","Jan 3, 2025",5,"FULL REREAD: I read this years ago and it was immediately one of my favorite books. I am doing a close reread this year with HLBC.","librarything"
"EllAreBee","Nov 16, 2024",3,"Wow. I mean, wow. I received this novel as a gift from a friend. From the first sentence to its closing lines, it is an absolutely breathtaking work of fantastical realism. I have to read it again later this year, because I think a second read will honestly be more magical than the first. (  )","librarything"
"Valerieaw","Nov 6, 2024",1,"These people are crazy. This book is strange. But somehow, at the end it was all worth it. (If you can just make it to the end, it might make a little bit of sense... only just a little.) (  )","librarything"
"spoko","Oct 24, 2024",3,"Made it, I don’t know, maybe 1/3 the way through. I would say I was at the part with all the gratuitous sex (mostly bordering on incest) and the fighting (mostly pointless battles & reprisals), but that wouldn’t really narrow it down at all, would it? (  )","librarything"
"aljosa95","Aug 23, 2024",3.5,"This was a weird book. I can certainly say that I've liked the vibe of the book, but at times it was confusing and tricky to follow. So, it's not no plot, just vibes. It's confusing plot, great vibes. Some characters keep sharing the same names and personalities, which I guess it there to show that the time is passing, but some things/people/generations will stay unchanged, maybe even repeating the same things are their ancestors. The last thing I was expecting was a mention of Belgium, Brussels and Liege in a book set in Columbia. (  )","librarything"
"sahara685","Aug 18, 2024",3,"(3.5 stars) The issue is that the writing style really worked for me but the overall story did not. I loved how poetic and nonlinear the narrative was and how the emotionless tone matched the family. This book is ripe with fantastic symbolism (especially with the banana company strike) and complex characters (ex. Colonel Aureliano Buendias). Marquez’s portrayal of the themes of memory, fate, and time as a cycle were very compelling as well. However, this was not an enjoyable book to read. It is very dense and pessimistic and there is so much incest or weird sex stuff that every chapter I would just be on the edge waiting for what messed up thing someone would do next. (  )","librarything"
"denmoir","Apr 27, 2024",3,"Not a fan of magical realism (  )","librarything"
"Chrissylou62","Apr 11, 2024",5,"A sad and enchanting book. (  )","librarything"
"Andrew.Lafleche","Mar 15, 2024",4,"Cien años de soledad es una historia perfecta: tragedia, triunfo y el círculo de la vida. Desde las primeras líneas hasta la última página, Gabriel García Márquez, mezcla magia con realidad para crear personajes inolvidables. Es el primer libro que leo en español y la poesía de cada línea me hace enamorarme aún más del idioma.It is a flawless representation of the human experience. I will read it again in English and again in Spanish and treasure this work for all of its profound insights. (  )","librarything"
"ben_a","Feb 20, 2024",5,"Harold Bloom describes his response as being “aesthetic battle fatigue” I had a very similar response. paused around the 50% mark. Post civil war, pre-banana massacre.","librarything"
"bschweiger","Feb 4, 2024",4,"I started reading this book more than 25 years ago and just could not get into. In fact, I still had the bookmark in it where I abandoned in that last attempt. I set out to read it again and struggled at the beginning. The only reason I persevered was because I chose this book for our book club. Part of what I found most difficult was the numerous characters with the same or similar names, and given that the story is not told in linear time, it was easy to confuse them. But as I got deeper into the story, I became more invested and found that I was enjoying it. It is the multi-generational story of the Buendía family, the patriarch of which, José Arcadio Buendía, founds the (fictional) town of Macondo, a rural Colombian village closer to the coast of the Caribbean than the Pacific. The village is visited by gypsies who bring the discoveries of the world beyond with them as they pass through periodically, exciting the imagination (and obsessions) of José Arcadio, whose wife, Úrsula Iguarán, puts up with his foolishness. Interestingly, the female figures in the book are the ones who more often than not show wisdom and sanity (although not all of them) and live the longest. I don't know if there is meant to be symbolism in the fantastical events, but over time I got used to the strange moments. I also struggled relating to or even caring about the characters, and yet the story still held my interest. While I read the first quarter of the book over a period of about three weeks - in part because I did not have a lot of free time, but also in part because I was struggling with it - I read the last nearly 300 pages in one day. Through his masterful storytelling, Gabriel García Márquez captured some key elements of Colombian history in the 20th century - how it affected the people in the more primitive and remote areas from guerilla warfare to the arrival of the railway, movies, telephones, cars, American (US) exploitation of natural resources (in this case, bananas), clashes between Liberals and Conservatives, the exploitation of plantation workers, who eventual go on strike and are later massacred - depending on whose version of history gets told and whose gets wiped out. (  )","librarything"
"awwarma","Jan 24, 2024",5,"Finally finished Cien Anos de Soledad. I read the English version translated by Gregory Rabassa. Some last lines of this novel has a melancholy effects on me. “Before reaching the final line, however, he had already understood that he would never leave that room, for it was foreseen that the city of mirrors (or mirages) would be wiped out by the wind and exiled from the memory of men at the precise moment when Aureliano Babilonia would finish deciphering the parchments, and that everything written on them was unrepeatable since time immemorial and forever more, because races condemned to one hundred years of solitude did not have a second opportunity on earth.”So their life was a curse, so their magical town was a curse, so there was nothing but a condemned life in Buendias family and their mad house was condemned too. The last line really has a dramatic effect on me, ‘races condemned to one hundred years of solitude did not have a second opportunity on earth.’ Like, I realized it then that after all, we’re all humans and we’re all condemned with our desolation, our solitude, and in the end, we’re nothing but a race that walk rights into our fear.The saddest part of Cien Anos de Soledad, I think, is the fact that time is cicling. Jose Arcadio Buendia killed Prudencio Agullar due to his lament joke about Jose Arcadio Buendia’s marriage. Meanwhile, Jose Arcadio Buendia still didn’t have a child because of Ursula Iguaran’s fear. His wife was scared with incest, with the certain truth of future about their marriage. Fear is an energy and it was transformed into rage which killed Prudencio Agullar. Yet the energy was still there, since the dead Prudencio Agullar was comically haunting Jose Arcadio Buendia. It then led them to ran away, finding Macondo. The irony of it was Jose Arcadio Buendia thought Macondo as Eden, yet it was only a sad and devastating sanctuary for him. He was cursed and his family was cursed since the day he killed Prudencio Agullar, and Ursula Iguaran was cursed and her family was cursed since the day she consummated her marriage. The fear and guilt they had had lasted them into the family with seven generations, yet life in fear was nothing and there’s no love in their life. The one who dare to loved was finally died alone, drowned in their solitudeness and desolation, yet the rest lived long enough with a solitude air between them. (  )","librarything"
"msf59","Jan 8, 2024",3,"I now understand why this sprawling (a major understatement), multi-generational novel is considered a literary classic. If I rated it strictly on ambition and scope it would earn an A+. It is dazzling in that respect. There is much to admire in these dense pages, as we follow the same family living in the small town of Macondo, tucked somewhere in South America. It is also an exhausting read and keeping track of the characters, many sharing the same or similar names grew tiresome at times, along with it’s repetitive narrative. That said, it will not be a novel I will soon forget and I still give it a solid rating but just be forewarned at the challenges ahead. (  )","librarything"
"ethorwitz","Jan 3, 2024",5,"The whole thing exists under this dream-logic where nothing makes sense in a way that totally makes sense. I re-read this recently and I realized that it might be my favorite book ever. (  )","librarything"
"LDVoorberg","Dec 24, 2023",3,"It felt like it took me 100 years to read through this novel. It's not that I didn't like it, because it's good literature, but it didn't captivate me in a way that made me read it continuously.It was hard to get used to the style of the prose. Almost rambling, tangential statements that easily lost me. But I got used to them and appreciated the style after a while. The mythical sense of the story (almost like Greek myths, if they were all combined in one volume) was fun, in a way.I didn't LOVE the book, but I'm glad I read it. It's literature of a quality that any 'real' reader should be obligated to read. (  )","librarything"
