"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","501","9.4"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)"," (Z)","(H)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","380","5.5"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)","252","15.8"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)","75","3.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)","3","20.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","709","6.7"
