Entity,Code,Year,Deaths - Drought (decadal),Deaths - Flood (decadal),Deaths - Earthquake (decadal),Deaths - Extreme weather (decadal),Deaths - Extreme temperature (decadal),Deaths - Volcanic activity (decadal),Deaths - Wildfire (decadal),Deaths - Glacial lake outburst flood (decadal),Deaths - Dry mass movement (decadal),Deaths - Wet mass movement (decadal),Deaths - Fog (decadal)
Afghanistan,AFG,1900,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1910,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1920,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1930,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1940,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1950,0,5.1,210,0,0,0,0,0,0,0,0
Afghanistan,AFG,1960,0,10.7,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1970,0,32.1,6.1,0,0,0,0,0,0,10,0
Afghanistan,AFG,1980,0,0,51.3,0,0,0,0,0,0,7,0
Afghanistan,AFG,1990,0,199,742.6,1,22.4,0,0,0,0,73.9,0
Afghanistan,AFG,2000,3.7,116.3,123.6,33.1,166.5,0,0,0,0,4.3,0
Afghanistan,AFG,2010,0,137,21.7,15.1,4.5,0,0,0,0,83.8,0
Afghanistan,AFG,2020,0,206.4,703,2.6,40.2,0,0,0,0,17.2,0
Africa,,1900,1100,0,10,0,0,1.7,0,0,0,0,0
Africa,,1910,8500,0,1.2,0,0,0,0,0,0,0,0
Africa,,1920,2400,300,1.2,0,0,0,0,0,0,0,0
Africa,,1930,0,0,2.2,0,0,0,0,0,0,0,0
Africa,,1940,5000,0,27.6,16.5,0,0,0,0,0,0,0
Africa,,1950,0,23.7,128.3,64.2,0,0,0,0,0,0,0
Africa,,1960,205,134.3,1367.7,15.2,0,0,0,0,0,30.8,0
Africa,,1970,11900,132.8,0,41.5,0,21.2,0.2,0,0,0,0
Africa,,1980,55482.7,165,313.8,108,0,178.3,0.4,0,7.7,1.1,0
Africa,,1990,16,731.7,79.9,113,10.2,0,10.6,0,4.7,17.8,0
Africa,,2000,109.4,791.3,333.5,127.3,12.5,20.6,15.4,0,9.8,20.2,0
Africa,,2010,2000,724.3,3.1,291.6,14.5,0,7.1,0,0,242.5,0
Africa,,2020,493,1634.8,589.2,2879.4,0,6.4,33.6,0,0,54,0
Albania,ALB,1900,0,0,12,0,0,0,0,0,0,0,0
Albania,ALB,1910,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,1920,0,0,20,0,0,0,0,0,0,0,0
Albania,ALB,1930,0,0,15,0,0,0,0,0,0,0,0
Albania,ALB,1940,0,0,4.3,0,0,0,0,0,0,0,0
Albania,ALB,1950,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,1960,0,0,2.6,0,0,0,0,0,0,0,0
Albania,ALB,1970,0,0,3.5,0,0,0,0,0,0,0,0
Albania,ALB,1980,0,0,0.1,0,6.8,0,0,0,0,5.7,0
Albania,ALB,1990,0,1.5,0,0,0,0,0,0,0,0,0
Albania,ALB,2000,0,0.4,0,0.8,0.3,0,0,0,0,0,0
Albania,ALB,2010,0,0.4,5.1,0,1.1,0,0,0,0,0,0
Albania,ALB,2020,0,0,0,0,70.4,0,0,0,0,0,0
Algeria,DZA,1900,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,1910,0,0,1.2,0,0,0,0,0,0,0,0
Algeria,DZA,1920,0,300,0,0,0,0,0,0,0,0,0
Algeria,DZA,1930,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,1940,0,0,27.6,0,0,0,0,0,0,0,0
Algeria,DZA,1950,0,2.5,125,0,0,0,0,0,0,0,0
Algeria,DZA,1960,0,15.3,6.9,0,0,0,0,0,0,0,0
Algeria,DZA,1970,0,3.2,0,0,0,0,0,0,0,0,0
Algeria,DZA,1980,0,16,268.6,0,0,0,0,0,0,0,0
Algeria,DZA,1990,0,10.3,19.3,0,0,0,2.2,0,0,1.5,0
Algeria,DZA,2000,0,131.2,227.9,2.7,4,0,0.8,0,0,0,0
