"blank","fips_st_cnty","entity_file","secndry_entity_file","date_file","date_cretn","file_length","st_name","st_name_abbrev","cnty_name","cnty_name_st_abbrev","fips_st","fips_cnty","cens_regn","cens_regn_name","cens_divsn","cens_divsn_name","fed_regn","ssa_benfcry","cbsa_20","cbsa_name_20","cbsa_ind_20","cbsa_cnty_stats_20","metro_divsn_20","metro_divsn_name_20","combnd_stat_area_20","combnd_stat_area_name_20","rural_urban_contnm_13","urban_influnc_13","econ_depndnt_typolgy_15","farmng_depndnt_typolgy_15","minng_depndnt_typolgy_15","mfg_depndnt_typolgy_15","fed_st_govt_depndnt_typolgy_15","recrtn_typolgy_15","nonspclzd_depndnt_typolgy_15","lo_eductn_typolgy_15","lo_emplymt_typolgy_15","hi_povty_typolgy_14","prstnt_povty_typolgy_14","prstnt_child_povty_typolgy_15","popn_loss_typolgy_15","retrmnt_destntn_typolgy_15","hpsa_prim_care_23","hpsa_prim_care_22","hpsa_dent_23","hpsa_dent_22","hpsa_mentl_hlth_23","hpsa_mentl_hlth_22","contgs_cnty_num01","contgs_cnty_num02","contgs_cnty_num03","contgs_cnty_num04","contgs_cnty_num05","contgs_cnty_num06","contgs_cnty_num07","contgs_cnty_num08","contgs_cnty_num09","contgs_cnty_num10","contgs_cnty_num11","contgs_cnty_num12","contgs_cnty_num13","contgs_cnty_num14"
,"01001","AHRF","01001","2023",23208,25907,"Alabama","AL","Autauga","Autauga, AL","01","001","3","South","6","East South Central","04","01000","33860","Montgomery, AL Metro SA","1","Central",,,"388","Montgomery-Selma-Alexander City, AL","02","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2","2","0","1","0","01021","01051","01101","01085","01047",,,,,,,,,
,"01003","AHRF","01003","2023",23208,25907,"Alabama","AL","Baldwin","Baldwin, AL","01","003","3","South","6","East South Central","04","01010","19300","Daphne-Fairhope-Foley, AL Metro SA","1","Central",,,"380","Mobile-Daphne-Fairhope, AL","03","2","5","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","01025","01053","01097","01099","12033",,,,,,,,,
,"01005","AHRF","01005","2023",23208,25907,"Alabama","AL","Barbour","Barbour, AL","01","005","3","South","6","East South Central","04","01020","21640","Eufaula, AL-GA Micro SA","2","Central",,,,,"06","6","3","0","0","1","0","0","0","1","1","1","1","1","0","0","1","1","0","0","1","0","01045","01067","01011","01109","01113","13061","13239","13259",,,,,,
,"01007","AHRF","01007","2023",23208,25907,"Alabama","AL","Bibb","Bibb, AL","01","007","3","South","6","East South Central","04","01030","13820","Birmingham-Hoover, AL Metro SA","1","Outlying",,,"142","Birmingham-Hoover-Talladega, AL","01","1","0","0","0","0","0","0","1","1","1","0","0","1","0","0","1","1","2","2","2","2","01125","01073","01021","01117","01105","01065",,,,,,,,
,"01009","AHRF","01009","2023",23208,25907,"Alabama","AL","Blount","Blount, AL","01","009","3","South","6","East South Central","04","01040","13820","Birmingham-Hoover, AL Metro SA","1","Outlying",,,"142","Birmingham-Hoover-Talladega, AL","01","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","2","2","01043","01095","01055","01115","01073","01127",,,,,,,,
,"01011","AHRF","01011","2023",23208,25907,"Alabama","AL","Bullock","Bullock, AL","01","011","3","South","6","East South Central","04","01050",,,"0",,,,,,"06","6","3","0","0","1","0","0","0","1","1","1","1","1","0","0","1","1","2","2","1","2","01101","01087","01113","01005","01109",,,,,,,,,
,"01013","AHRF","01013","2023",23208,25907,"Alabama","AL","Butler","Butler, AL","01","013","3","South","6","East South Central","04","01060",,,"0",,,,,,"06","6","0","0","0","0","0","0","1","0","1","1","1","1","1","0","1","1","2","0","1","1","01131","01085","01041","01039","01035","01099",,,,,,,,
,"01015","AHRF","01015","2023",23208,25907,"Alabama","AL","Calhoun","Calhoun, AL","01","015","3","South","6","East South Central","04","01070","11500","Anniston-Oxford, AL Metro SA","1","Central",,,,,"03","2","4","0","0","0","1","0","0","0","1","1","0","0","0","0","2","2","0","2","1","2","01055","01019","01029","01121","01115",,,,,,,,,
,"01017","AHRF","01017","2023",23208,25907,"Alabama","AL","Chambers","Chambers, AL","01","017","3","South","6","East South Central","04","01080","29300","LaGrange, GA-AL Micro SA","2","Outlying",,,"122","Atlanta--Athens-Clarke County--Sandy Springs,GA-AL","06","5","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","0","2","0","2","0","01081","01123","01111","13149","13285","13145",,,,,,,,
,"01019","AHRF","01019","2023",23208,25907,"Alabama","AL","Cherokee","Cherokee, AL","01","019","3","South","6","East South Central","04","01090",,,"0",,,,,,"06","6","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","2","2","2","1","2","01049","01055","01015","01029","13115","13055","13233","13295",,,,,,
,"01021","AHRF","01021","2023",23208,25907,"Alabama","AL","Chilton","Chilton, AL","01","021","3","South","6","East South Central","04","01100","13820","Birmingham-Hoover, AL Metro SA","1","Outlying",,,"142","Birmingham-Hoover-Talladega, AL","01","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","2","0","1","0","01007","01117","01037","01051","01001","01047","01105",,,,,,,
,"01023","AHRF","01023","2023",23208,25907,"Alabama","AL","Choctaw","Choctaw, AL","01","023","3","South","6","East South Central","04","01110",,,"0",,,,,,"09","10","3","0","0","1","0","0","0","0","1","1","1","1","1","0","1","1","2","0","1","0","01119","01091","01025","01129","28153","28023","28075",,,,,,,
,"01025","AHRF","01025","2023",23208,25907,"Alabama","AL","Clarke","Clarke, AL","01","025","3","South","6","East South Central","04","01120",,,"0",,,,,,"07","11","3","0","0","1","0","0","0","0","1","1","1","1","0","0","1","1","2","2","1","2","01023","01091","01131","01099","01003","01097","01129",,,,,,,
,"01027","AHRF","01027","2023",23208,25907,"Alabama","AL","Clay","Clay, AL","01","027","3","South","6","East South Central","04","01130",,,"0",,,,,,"09","10","3","0","0","1","0","0","0","1","1","0","0","0","0","0","2","2","2","0","1","0","01121","01029","01111","01123","01037",,,,,,,,,
,"01029","AHRF","01029","2023",23208,25907,"Alabama","AL","Cleburne","Cleburne, AL","01","029","3","South","6","East South Central","04","01140",,,"0",,,,,,"08","4","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","2","0","1","0","01111","01027","01121","01015","01019","13233","13143","13045",,,,,,
,"01031","AHRF","01031","2023",23208,25907,"Alabama","AL","Coffee","Coffee, AL","01","031","3","South","6","East South Central","04","01150","21460","Enterprise, AL Micro SA","2","Central",,,,,"04","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","1","1","01041","01109","01045","01061","01039",,,,,,,,,
,"01033","AHRF","01033","2023",23208,25907,"Alabama","AL","Colbert","Colbert, AL","01","033","3","South","6","East South Central","04","01160","22520","Florence-Muscle Shoals, AL Metro SA","1","Central",,,,,"03","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","01077","01079","01059","28141",,,,,,,,,,
,"01035","AHRF","01035","2023",23208,25907,"Alabama","AL","Conecuh","Conecuh, AL","01","035","3","South","6","East South Central","04","01170",,,"0",,,,,,"07","11","0","0","0","0","0","0","1","1","1","1","1","1","0","0","2","0","2","0","1","0","01099","01013","01039","01053",,,,,,,,,,
,"01037","AHRF","01037","2023",23208,25907,"Alabama","AL","Coosa","Coosa, AL","01","037","3","South","6","East South Central","04","01180","10760","Alexander City, AL Micro SA","2","Outlying",,,"388","Montgomery-Selma-Alexander City, AL","08","3","3","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","2","0","1","0","01117","01121","01027","01123","01051","01021",,,,,,,,
