code,cause,cause_level,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
0,All Causes,0,NA,All Causes,NA,NA,NA
10,"Communicable, maternal, perinatal and nutritional conditions",1,I.,"Communicable, maternal, perinatal and nutritional conditions",NA,NA,NA
20,Infectious and parasitic diseases,2,NA,A.,Infectious and parasitic diseases,NA,NA
30,Tuberculosis,3,NA,NA,1.,Tuberculosis,NA
40,STDs excluding HIV,3,NA,NA,2.,STDs excluding HIV,NA
50,Syphilis,4,NA,NA,NA,a.,Syphilis
60,Chlamydia,4,NA,NA,NA,b.,Chlamydia
70,Gonorrhoea,4,NA,NA,NA,c.,Gonorrhoea
80,Trichomoniasis,4,NA,NA,NA,d.,Trichomoniasis
85,Gential Herpes,4,NA,NA,NA,e.,Gential Herpes
90,Other STDs,4,NA,NA,NA,f.,Other STDs
100,HIV/AIDS,3,NA,NA,3.,HIV/AIDS,NA
110,Diarrhoeal diseases,3,NA,NA,4.,Diarrhoeal diseases,NA
120,Childhood-cluster diseases,3,NA,NA,5.,Childhood-cluster diseases,NA
130,Whooping cough,4,NA,NA,NA,a.,Whooping cough
140,Diphtheria,4,NA,NA,NA,b.,Diphtheria
150,Measles,4,NA,NA,NA,c.,Measles
160,Tetanus,4,NA,NA,NA,d.,Tetanus
170,Meningitis,3,NA,NA,6.,Meningitis,NA
180,Encephalitis,3,NA,NA,7.,Encephalitis,NA
185,Hepatitis,3,NA,NA,8.,Hepatitis,NA
186,Acute hepatitis A,4,NA,NA,NA,a.,Acute hepatitis A
190,Acute hepatitis B,4,NA,NA,NA,b.,Acute hepatitis B
200,Acute hepatitis C,4,NA,NA,NA,c.,Acute hepatitis C
205,Acute hepatitis E,4,NA,NA,NA,d.,Acute hepatitis E
210,Parasitic and vector diseases,3,NA,NA,9.,Parasitic and vector diseases,NA
220,Malaria,4,NA,NA,NA,a.,Malaria
230,Trypanosomiasis,4,NA,NA,NA,b.,Trypanosomiasis
240,Chagas disease,4,NA,NA,NA,c.,Chagas disease
250,Schistosomiasis,4,NA,NA,NA,d.,Schistosomiasis
260,Leishmaniasis,4,NA,NA,NA,e.,Leishmaniasis
270,lymphatic filariasis,4,NA,NA,NA,f.,lymphatic filariasis
280,Onchocerciasis,4,NA,NA,NA,g.,Onchocerciasis
285,Cysticercosis,4,NA,NA,NA,h.,Cysticercosis
295,Echinococcosis,4,NA,NA,NA,i.,Echinococcosis
300,Dengue,4,NA,NA,NA,j.,Dengue
310,Trachoma,4,NA,NA,NA,k.,Trachoma
315,Yellow fever,4,NA,NA,NA,l.,Yellow fever
320,Rabies,4,NA,NA,NA,m.,Rabies
330,Intestinal nematode infections,3,NA,NA,10.,Intestinal nematode infections,NA
340,Ascariasis,4,NA,NA,NA,a.,Ascariasis
350,Trichuriasis,4,NA,NA,NA,b.,Trichuriasis
360,Hookworm disease,4,NA,NA,NA,c.,Hookworm disease
362,Food-borne trematodes,4,NA,NA,NA,d.,Food-borne trematodes
365,Leprosy,3,NA,NA,11.,Leprosy,NA
370,Other infectious diseases,3,NA,NA,12.,Other infectious diseases,NA
380,Respiratory Infectious,2,NA,B.,Respiratory Infectious,NA,NA
