year,code,cause,cause_level,dalys,dalys_thousands,dalys_millions,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,total_dalys,pct_all_dalys
2000,0,All Causes,0,2841004961.46513,2841004.9614651296,2841.00496146513,NA,All Causes,NA,NA,NA,2841004961.46513,1
2000,10,"Communicable, maternal, perinatal and nutritional conditions",1,1248883094.89041,1248883.0948904098,1248.88309489041,I.,"Communicable, maternal, perinatal and nutritional conditions",NA,NA,NA,2841004961.46513,0.43959201473775344
2000,20,Infectious and parasitic diseases,2,643954316.875638,643954.316875638,643.954316875638,NA,A.,Infectious and parasitic diseases,NA,NA,2841004961.46513,0.22666427042899123
2000,30,Tuberculosis,3,117431990.494888,117431.990494888,117.431990494888,NA,NA,1.,Tuberculosis,NA,2841004961.46513,0.04133466575655938
2000,40,STDs excluding HIV,3,8774198.25684176,8774.19825684176,8.77419825684176,NA,NA,2.,STDs excluding HIV,NA,2841004961.46513,0.003088413563458486
2000,50,Syphilis,4,7781044.58244089,7781.044582440891,7.781044582440891,NA,NA,NA,a.,Syphilis,2841004961.46513,0.002738835267090889
2000,60,Chlamydia,4,134521.44054045,134.52144054045002,0.13452144054045,NA,NA,NA,b.,Chlamydia,2841004961.46513,4.7349949178221844e-5
2000,70,Gonorrhoea,4,63406.5411692697,63.4065411692697,0.0634065411692697,NA,NA,NA,c.,Gonorrhoea,2841004961.46513,2.2318349326841873e-5
2000,80,Trichomoniasis,4,197067.106428187,197.067106428187,0.19706710642818698,NA,NA,NA,d.,Trichomoniasis,2841004961.46513,6.936528063173738e-5
2000,85,Gential Herpes,4,179250.039570127,179.250039570127,0.179250039570127,NA,NA,NA,e.,Gential Herpes,2841004961.46513,6.309388473495881e-5
2000,90,Other STDs,4,418908.546692836,418.90854669283596,0.418908546692836,NA,NA,NA,f.,Other STDs,2841004961.46513,1.4745083249583673e-4
2000,100,HIV/AIDS,3,100671451.654854,100671.451654854,100.671451654854,NA,NA,3.,HIV/AIDS,NA,2841004961.46513,0.03543515517232215
2000,110,Diarrhoeal diseases,3,152479005.93678,152479.00593678,152.47900593678,NA,NA,4.,Diarrhoeal diseases,NA,2841004961.46513,0.05367079889158142
2000,120,Childhood-cluster diseases,3,94878108.7039352,94878.1087039352,94.87810870393521,NA,NA,5.,Childhood-cluster diseases,NA,2841004961.46513,0.03339596726892225
2000,130,Whooping cough,4,21310680.5281579,21310.6805281579,21.3106805281579,NA,NA,NA,a.,Whooping cough,2841004961.46513,0.007501106410306234
2000,140,Diphtheria,4,1225829.81729996,1225.82981729996,1.22582981729996,NA,NA,NA,b.,Diphtheria,2841004961.46513,4.3147753486068866e-4
2000,150,Measles,4,65916331.3429564,65916.3313429564,65.9163313429564,NA,NA,NA,c.,Measles,2841004961.46513,0.023201765655827225
2000,160,Tetanus,4,6425267.0155209,6425.2670155209,6.4252670155209,NA,NA,NA,d.,Tetanus,2841004961.46513,0.0022616176679280896
2000,170,Meningitis,3,29665515.907452,29665.515907451998,29.665515907451997,NA,NA,6.,Meningitis,NA,2841004961.46513,0.010441909222204683
